,City,StateProvinceName,CountryRegionName,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend,age,year,month,day
0,Wollongong,New South Wales,Australia,1987-11-13,Bachelors,Clerical,M,M,1,3,0,1,81916,1,50.97,29.0,1987,11,13
1,Shawnee,British Columbia,Canada,1972-07-21,Partial College,Clerical,M,M,1,2,1,2,81076,1,53.11,44.0,1972,7,21
2,West Covina,California,United States,1985-11-09,Bachelors,Clerical,F,S,0,3,0,0,86387,1,54.08,31.0,1985,11,9
3,Liverpool,England,United Kingdom,1977-10-18,Partial College,Skilled Manual,M,M,1,2,1,2,61481,1,56.93,39.0,1977,10,18
4,Werne,Nordrhein-Westfalen,Germany,1975-02-05,Partial College,Skilled Manual,M,S,1,1,0,0,51804,1,55.41,42.0,1975,2,5
5,Tacoma,Washington,United States,1975-02-23,High School,Skilled Manual,F,M,1,2,2,2,61944,1,49.31,42.0,1975,2,23
6,Redwood City,California,United States,1971-12-03,Partial College,Manual,M,S,1,1,0,0,34919,0,56.01,45.0,1971,12,3
7,Lavender Bay,New South Wales,Australia,1997-03-07,Partial College,Skilled Manual,F,M,0,1,0,0,61832,1,49.29,20.0,1997,3,7
8,Dunkerque,Nord,France,1976-12-14,Partial College,Clerical,F,M,1,0,0,2,83834,1,50.05,40.0,1976,12,14
9,Metz,Moselle,France,1976-12-04,High School,Manual,M,S,0,1,0,0,26880,0,54.15,40.0,1976,12,4
10,Redwood City,California,United States,1998-11-20,Partial College,Clerical,F,S,0,1,0,0,77258,0,54.02,18.0,1998,11,20
11,Lakewood,California,United States,1981-04-21,Bachelors,Management,M,M,1,3,0,0,102698,0,58.29,35.0,1981,4,21
12,Los Angeles,California,United States,1984-10-24,Bachelors,Management,F,M,1,1,1,2,108198,1,52.66,32.0,1984,10,24
13,Wollongong,New South Wales,Australia,1960-08-12,Bachelors,Professional,M,M,1,2,0,2,133762,0,52.5,56.0,1960,8,12
14,Maidenhead,England,United Kingdom,1991-05-12,Partial High School,Manual,M,S,0,1,0,0,30526,0,49.61,25.0,1991,5,12
15,Beverly Hills,California,United States,1971-03-14,Partial College,Skilled Manual,F,M,1,2,0,2,56353,1,49.04,46.0,1971,3,14
16,Puyallup,Washington,United States,1965-06-02,High School,Clerical,F,S,1,3,1,1,79019,1,50.48,51.0,1965,6,2
17,Langley,British Columbia,Canada,1993-02-02,Partial College,Skilled Manual,M,S,0,2,0,0,55387,1,51.0,24.0,1993,2,2
18,Darmstadt,Hessen,Germany,1981-06-06,Bachelors,Management,M,M,1,2,0,2,113276,0,58.69,35.0,1981,6,6
19,Orly,Val de Marne,France,1963-06-20,Partial College,Management,M,S,1,1,0,1,109259,0,52.3,53.0,1963,6,20
20,El Cajon,California,United States,1980-07-10,High School,Clerical,F,M,1,0,0,2,83845,0,50.38,36.0,1980,7,10
21,Berlin,Hessen,Germany,1976-12-16,High School,Skilled Manual,F,M,1,0,2,2,59527,1,53.22,40.0,1976,12,16
22,Oak Bay,British Columbia,Canada,1961-11-05,Bachelors,Management,M,S,1,1,0,1,108360,0,51.88,55.0,1961,11,5
23,Coronado,California,United States,1996-09-19,Partial College,Clerical,M,M,0,1,0,0,87504,0,49.72,20.0,1996,9,19
24,Hervey Bay,Queensland,Australia,1993-02-27,Bachelors,Skilled Manual,F,M,0,0,0,0,55461,1,48.76,24.0,1993,2,27
25,Coronado,California,United States,1989-04-15,Bachelors,Professional,F,S,1,2,0,0,137464,1,52.03,27.0,1989,4,15
26,Drancy,Seine Saint Denis,France,1990-03-16,High School,Clerical,M,M,1,2,0,1,87676,1,49.89,26.0,1990,3,16
27,Frankfurt,Hessen,Germany,1966-03-02,Bachelors,Management,M,M,1,3,0,2,104187,1,51.15,51.0,1966,3,2
28,Findon,South Australia,Australia,1983-08-19,Bachelors,Clerical,M,S,0,1,0,0,78222,1,53.53,33.0,1983,8,19
29,Newcastle,New South Wales,Australia,1986-11-15,Graduate Degree,Clerical,F,M,1,2,0,1,77383,0,50.59,30.0,1986,11,15
30,Morangis,Essonne,France,1984-12-13,High School,Skilled Manual,F,M,1,1,2,2,60700,1,49.29,32.0,1984,12,13
31,Pantin,Seine Saint Denis,France,1980-09-24,High School,Manual,F,S,0,0,0,0,30913,0,49.0,36.0,1980,9,24
32,West Covina,California,United States,1978-11-11,Partial College,Clerical,F,S,1,2,0,0,86952,1,54.71,38.0,1978,11,11
33,Sooke,British Columbia,Canada,1978-07-16,Graduate Degree,Skilled Manual,M,M,1,2,1,2,58567,1,55.64,38.0,1978,7,16
34,Berkeley,California,United States,1997-09-12,Partial College,Clerical,M,M,0,0,0,0,77478,0,50.55,19.0,1997,9,12
35,Lemon Grove,California,United States,1988-03-23,Bachelors,Clerical,M,M,1,2,0,1,78406,0,50.16,28.0,1988,3,23
36,Kassel,Hessen,Germany,1990-12-27,Partial College,Clerical,M,S,0,1,0,0,85318,0,51.02,26.0,1990,12,27
37,Courbevoie,Hauts de Seine,France,1996-04-27,High School,Skilled Manual,F,S,0,0,0,0,52928,1,52.17,20.0,1996,4,27
38,Townsville,Queensland,Australia,1987-05-14,Bachelors,Clerical,F,S,0,2,0,0,79224,1,52.31,29.0,1987,5,14
39,Woolston,England,United Kingdom,1983-07-03,Partial College,Manual,M,M,0,0,0,1,33076,1,53.13,33.0,1983,7,3
40,Sèvres,Hauts de Seine,France,1985-09-24,High School,Skilled Manual,F,M,1,1,0,2,56641,0,48.89,31.0,1985,9,24
41,La Jolla,California,United States,1982-08-24,High School,Manual,M,M,1,0,0,1,27203,0,52.46,34.0,1982,8,24
42,Saint Ouen,Somme,France,1986-11-20,High School,Clerical,F,S,0,3,0,0,77098,0,50.21,30.0,1986,11,20
43,Paris,Seine (Paris),France,1988-12-06,Bachelors,Management,M,M,1,3,2,2,103200,1,53.97,28.0,1988,12,6
44,St. Leonards,New South Wales,Australia,1984-11-04,Bachelors,Skilled Manual,F,S,0,2,0,0,53784,0,50.85,32.0,1984,11,4
45,Saint-Denis,Seine Saint Denis,France,1974-08-18,Partial College,Manual,F,S,0,1,0,0,25826,0,47.53,42.0,1974,8,18
46,Lakewood,California,United States,1982-03-16,High School,Manual,M,M,1,0,1,1,30925,1,50.48,34.0,1982,3,16
47,Newcastle,New South Wales,Australia,1971-06-04,Partial High School,Manual,F,M,1,1,1,2,30288,0,50.57,45.0,1971,6,4
48,Oakland,California,United States,1985-04-19,Bachelors,Manual,M,S,0,0,0,0,34685,1,48.1,31.0,1985,4,19
49,Novato,California,United States,1989-06-16,Graduate Degree,Skilled Manual,F,M,0,1,1,1,58213,1,51.99,27.0,1989,6,16
50,Berlin,Hamburg,Germany,1995-10-14,Partial College,Management,M,S,0,0,0,0,108342,1,51.43,21.0,1995,10,14
