,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,age
0,Bachelors,Clerical,M,M,1,3,0,1,11.313449611,1,29.0
1,Partial College,Clerical,M,M,1,2,1,2,11.3031422654,1,44.0
2,Bachelors,Clerical,F,S,0,3,0,0,11.3665924805,1,31.0
3,Partial College,Skilled Manual,M,M,1,2,1,2,11.026483463,1,39.0
4,Partial College,Skilled Manual,M,S,1,1,0,0,10.8552226453,1,42.0
5,High School,Skilled Manual,F,M,1,2,2,2,11.0339860301,1,42.0
6,Partial College,Manual,M,S,1,1,0,0,10.4607863727,0,45.0
7,Partial College,Skilled Manual,F,M,0,1,0,0,11.0321763088,1,20.0
8,Partial College,Clerical,F,M,1,0,0,2,11.3365939321,1,40.0
9,High School,Manual,M,S,0,1,0,0,10.1991377946,0,40.0
10,Partial College,Clerical,F,S,0,1,0,0,11.2549057493,0,18.0
11,Bachelors,Management,M,M,1,3,0,0,11.5395479215,0,35.0
12,Bachelors,Management,F,M,1,1,1,2,11.5917181609,1,32.0
13,Bachelors,Professional,M,M,1,2,0,2,11.8038173804,0,56.0
14,Partial High School,Manual,M,S,0,1,0,0,10.3263340585,0,25.0
15,Partial College,Skilled Manual,F,M,1,2,0,2,10.9393907567,1,46.0
16,High School,Clerical,F,S,1,3,1,1,11.2774436089,1,51.0
17,Partial College,Skilled Manual,M,S,0,2,0,0,10.9221001882,1,24.0
18,Bachelors,Management,M,M,1,2,0,2,11.6375825976,0,35.0
19,Partial College,Management,M,S,1,1,0,1,11.6014764894,0,53.0
20,High School,Clerical,F,M,1,0,0,2,11.3367251352,0,36.0
21,High School,Skilled Manual,F,M,1,0,2,2,10.9941852701,1,40.0
22,Bachelors,Management,M,S,1,1,0,1,11.5932142962,0,55.0
23,Partial College,Clerical,M,M,0,1,0,0,11.3794397856,0,20.0
24,Bachelors,Skilled Manual,F,M,0,0,0,0,10.92343535,1,24.0
25,Bachelors,Professional,F,S,1,2,0,0,11.8311173436,1,27.0
26,High School,Clerical,M,M,1,2,0,1,11.3814034807,1,26.0
27,Bachelors,Management,M,M,1,3,0,2,11.5539426404,1,51.0
28,Bachelors,Clerical,M,S,0,1,0,0,11.2673062169,1,33.0
29,Graduate Degree,Clerical,F,M,1,2,0,1,11.2565223972,0,30.0
30,High School,Skilled Manual,F,M,1,1,2,2,11.013698977,1,32.0
31,High School,Manual,F,S,0,0,0,0,10.3389320864,0,36.0
32,Partial College,Clerical,F,S,1,2,0,0,11.3731115212,1,38.0
33,Graduate Degree,Skilled Manual,M,M,1,2,1,2,10.977926677,1,38.0
34,Partial College,Clerical,M,M,0,0,0,0,11.2577493041,0,19.0
35,Bachelors,Clerical,M,M,1,2,0,1,11.269655734,0,28.0
36,Partial College,Clerical,M,S,0,1,0,0,11.3541407311,0,26.0
37,High School,Skilled Manual,F,S,0,0,0,0,10.8766877784,1,20.0
38,Bachelors,Clerical,F,S,0,2,0,0,11.2800345622,1,29.0
39,Partial College,Manual,M,M,0,0,0,1,10.4065632228,1,33.0
40,High School,Skilled Manual,F,M,1,1,0,2,10.9444883836,0,31.0
41,High School,Manual,M,M,1,0,0,1,10.2110825403,0,34.0
42,High School,Clerical,F,S,0,3,0,0,11.2528326189,0,30.0
43,Bachelors,Management,M,M,1,3,2,2,11.544424132,1,28.0
44,Bachelors,Skilled Manual,F,S,0,2,0,0,10.8927313041,0,32.0
45,Partial College,Manual,F,S,0,1,0,0,10.1591370154,0,42.0
46,High School,Manual,M,M,1,0,1,1,10.3393201973,1,34.0
47,Partial High School,Manual,F,M,1,1,1,2,10.3185068734,0,45.0
48,Bachelors,Manual,M,S,0,0,0,0,10.4540625958,1,31.0
49,Graduate Degree,Skilled Manual,F,M,0,1,1,1,10.9718639765,1,27.0
50,Partial College,Management,M,S,0,0,0,0,11.5930481694,1,21.0
51,Bachelors,Professional,F,M,1,2,1,1,11.7782468912,1,29.0
52,Partial College,Skilled Manual,F,S,0,2,0,0,10.9721044437,1,32.0
53,Partial College,Skilled Manual,M,S,0,1,0,0,10.8619945065,1,22.0
54,Graduate Degree,Professional,M,S,1,2,0,0,11.7864426879,1,30.0
55,Partial College,Manual,M,S,0,1,0,0,10.4195991807,0,18.0
56,High School,Skilled Manual,F,S,1,1,0,1,10.9470274853,0,50.0
57,Partial College,Skilled Manual,F,S,0,1,0,0,10.9716578157,0,23.0
58,Bachelors,Clerical,F,M,1,2,0,1,11.3188430193,1,31.0
59,Partial High School,Skilled Manual,F,M,1,2,1,2,10.9269092319,1,51.0
60,High School,Manual,M,M,1,1,1,2,10.4093106847,0,36.0
61,Partial College,Management,F,S,1,3,0,1,11.5888025855,1,51.0
62,High School,Clerical,F,M,1,1,2,2,11.2904816688,1,59.0
63,Partial High School,Skilled Manual,M,S,0,2,0,0,10.9073678276,1,32.0
64,Bachelors,Manual,M,M,0,0,1,1,10.4932167739,1,30.0
65,Bachelors,Skilled Manual,M,M,1,2,1,2,10.8976463215,1,32.0
66,Partial College,Management,M,S,0,1,0,0,11.6327153744,0,17.0
67,Partial College,Manual,M,M,1,1,0,2,10.300550797,0,46.0
68,Bachelors,Skilled Manual,M,M,1,2,2,2,10.9476436554,1,38.0
69,Partial College,Management,F,S,1,3,0,0,11.5390511965,1,46.0
70,Partial College,Clerical,F,S,0,2,0,0,11.3176159283,1,20.0
71,High School,Skilled Manual,M,M,1,1,2,2,10.9004361874,1,40.0
72,Partial College,Skilled Manual,F,S,0,2,0,0,11.017119808,1,21.0
73,Bachelors,Management,M,S,1,2,0,0,11.5617822936,1,29.0
74,High School,Manual,F,M,1,0,1,1,10.3834105716,1,40.0
75,Partial College,Skilled Manual,M,S,0,1,0,0,10.864961953,0,35.0
76,Partial College,Clerical,F,S,1,2,0,0,11.3247990928,0,36.0
77,High School,Manual,M,M,1,1,2,2,10.2788713886,0,45.0
78,Graduate Degree,Clerical,M,M,1,1,1,1,11.3142915827,1,28.0
79,Partial High School,Manual,F,S,1,0,0,0,10.4327619464,0,48.0
80,Partial College,Manual,F,S,0,0,0,0,10.275602681,0,21.0
81,High School,Manual,F,M,1,0,1,2,10.4088583256,1,50.0
82,Graduate Degree,Clerical,M,M,1,1,2,2,11.2939108777,1,59.0
83,Bachelors,Clerical,F,S,1,1,1,1,11.2801733994,0,50.0
84,Graduate Degree,Manual,F,S,0,1,0,0,10.4741845733,0,27.0
85,Graduate Degree,Professional,M,S,0,3,0,0,11.8237648257,0,22.0
86,High School,Skilled Manual,F,S,1,1,0,0,10.8883524016,0,44.0
87,Partial College,Clerical,F,M,1,0,1,2,11.3583046747,1,35.0
88,Bachelors,Professional,M,M,1,3,0,2,11.7694418949,1,49.0
89,Partial High School,Skilled Manual,F,M,1,1,2,2,11.032127789,1,41.0
90,Bachelors,Management,M,S,1,3,0,0,11.6260755629,1,32.0
91,Bachelors,Skilled Manual,F,M,1,0,1,1,10.9091618455,1,29.0
92,Partial College,Management,F,S,1,3,0,0,11.5772889708,1,40.0
93,Partial High School,Skilled Manual,M,S,0,1,0,0,10.9688360172,0,24.0
94,Partial College,Management,F,M,1,2,0,1,11.5717791078,1,24.0
95,High School,Manual,M,S,0,1,0,0,10.2402454626,0,31.0
96,Graduate Degree,Clerical,M,M,1,2,0,3,11.3716844293,0,57.0
97,Partial College,Skilled Manual,M,S,0,2,0,0,11.0204144338,1,35.0
98,Graduate Degree,Manual,F,M,1,1,1,2,10.4671522753,0,58.0
99,High School,Skilled Manual,F,M,0,2,0,0,10.9966349358,0,19.0
100,Bachelors,Professional,M,M,1,3,1,2,11.8001474316,1,53.0
101,Partial College,Clerical,M,S,1,3,0,1,11.3139499985,0,54.0
102,Partial College,Management,F,S,0,1,0,0,11.5455281735,0,22.0
103,Graduate Degree,Management,F,S,1,2,0,0,11.5477712374,1,29.0
104,Bachelors,Skilled Manual,M,M,0,0,1,1,10.973648925,1,28.0
105,Bachelors,Skilled Manual,M,M,1,2,0,2,10.9299770767,0,56.0
106,Graduate Degree,Manual,F,S,0,1,0,0,10.501417049,0,31.0
107,Bachelors,Management,F,S,0,2,0,0,11.5885151959,1,28.0
