,CountryRegionName,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberChildrenAtHome,TotalChildren,YearlyIncome,AvgMonthSpend,age
0,Australia,Clerical,M,M,1,0,1,81916,50.97,29.0
1,Canada,Clerical,M,M,1,1,2,81076,53.11,44.0
2,United States,Clerical,F,S,0,0,0,86387,54.08,31.0
3,United Kingdom,Skilled Manual,M,M,1,1,2,61481,56.93,39.0
4,Germany,Skilled Manual,M,S,1,0,0,51804,55.41,42.0
5,United States,Skilled Manual,F,M,1,2,2,61944,49.31,42.0
6,United States,Manual,M,S,1,0,0,34919,56.01,45.0
7,Australia,Skilled Manual,F,M,0,0,0,61832,49.29,20.0
8,France,Clerical,F,M,1,0,2,83834,50.05,40.0
9,France,Manual,M,S,0,0,0,26880,54.15,40.0
10,United States,Clerical,F,S,0,0,0,77258,54.02,18.0
11,United States,Management,M,M,1,0,0,102698,58.29,35.0
12,United States,Management,F,M,1,1,2,108198,52.66,32.0
13,Australia,Professional,M,M,1,0,2,133762,52.5,56.0
14,United Kingdom,Manual,M,S,0,0,0,30526,49.61,25.0
15,United States,Skilled Manual,F,M,1,0,2,56353,49.04,46.0
16,United States,Clerical,F,S,1,1,1,79019,50.48,51.0
17,Canada,Skilled Manual,M,S,0,0,0,55387,51.0,24.0
18,Germany,Management,M,M,1,0,2,113276,58.69,35.0
19,France,Management,M,S,1,0,1,109259,52.3,53.0
20,United States,Clerical,F,M,1,0,2,83845,50.38,36.0
21,Germany,Skilled Manual,F,M,1,2,2,59527,53.22,40.0
22,Canada,Management,M,S,1,0,1,108360,51.88,55.0
23,United States,Clerical,M,M,0,0,0,87504,49.72,20.0
24,Australia,Skilled Manual,F,M,0,0,0,55461,48.76,24.0
25,United States,Professional,F,S,1,0,0,137464,52.03,27.0
26,France,Clerical,M,M,1,0,1,87676,49.89,26.0
27,Germany,Management,M,M,1,0,2,104187,51.15,51.0
28,Australia,Clerical,M,S,0,0,0,78222,53.53,33.0
29,Australia,Clerical,F,M,1,0,1,77383,50.59,30.0
30,France,Skilled Manual,F,M,1,2,2,60700,49.29,32.0
31,France,Manual,F,S,0,0,0,30913,49.0,36.0
32,United States,Clerical,F,S,1,0,0,86952,54.71,38.0
33,Canada,Skilled Manual,M,M,1,1,2,58567,55.64,38.0
34,United States,Clerical,M,M,0,0,0,77478,50.55,19.0
35,United States,Clerical,M,M,1,0,1,78406,50.16,28.0
36,Germany,Clerical,M,S,0,0,0,85318,51.02,26.0
37,France,Skilled Manual,F,S,0,0,0,52928,52.17,20.0
38,Australia,Clerical,F,S,0,0,0,79224,52.31,29.0
39,United Kingdom,Manual,M,M,0,0,1,33076,53.13,33.0
40,France,Skilled Manual,F,M,1,0,2,56641,48.89,31.0
41,United States,Manual,M,M,1,0,1,27203,52.46,34.0
42,France,Clerical,F,S,0,0,0,77098,50.21,30.0
43,France,Management,M,M,1,2,2,103200,53.97,28.0
44,Australia,Skilled Manual,F,S,0,0,0,53784,50.85,32.0
45,France,Manual,F,S,0,0,0,25826,47.53,42.0
46,United States,Manual,M,M,1,1,1,30925,50.48,34.0
47,Australia,Manual,F,M,1,1,2,30288,50.57,45.0
48,United States,Manual,M,S,0,0,0,34685,48.1,31.0
49,United States,Skilled Manual,F,M,0,1,1,58213,51.99,27.0
50,Germany,Management,M,S,0,0,0,108342,51.43,21.0
51,Australia,Professional,F,M,1,1,1,130385,55.52,29.0
52,France,Skilled Manual,F,S,0,0,0,58227,50.76,32.0
53,France,Skilled Manual,M,S,0,0,0,52156,47.68,22.0
54,Australia,Professional,M,S,1,0,0,131458,57.1,30.0
55,United States,Manual,M,S,0,0,0,33510,46.25,18.0
56,United States,Skilled Manual,F,S,1,0,1,56785,51.34,50.0
57,Germany,Skilled Manual,F,S,0,0,0,58201,51.29,23.0
58,United States,Clerical,F,M,1,0,1,82359,49.64,31.0
59,United States,Skilled Manual,F,M,1,1,2,55654,50.98,51.0
60,United States,Manual,M,M,1,1,2,33167,58.85,36.0
61,Australia,Management,F,S,1,0,1,107883,52.81,51.0
62,United States,Clerical,F,M,1,2,2,80056,53.16,59.0
63,United Kingdom,Skilled Manual,M,S,0,0,0,54577,49.8,32.0
64,United States,Manual,M,M,0,1,1,36070,59.05,30.0
65,Australia,Skilled Manual,M,M,1,1,2,54049,54.19,32.0
66,Australia,Management,M,S,0,0,0,112726,55.8,17.0
67,United Kingdom,Manual,M,M,1,0,2,29749,48.95,46.0
68,United States,Skilled Manual,M,M,1,2,2,56820,55.26,38.0
69,United States,Management,F,S,1,0,0,102647,51.75,46.0
70,Germany,Clerical,F,S,0,0,0,82258,51.48,20.0
71,United States,Skilled Manual,M,M,1,2,2,54200,55.34,40.0
72,United States,Skilled Manual,F,S,0,0,0,60908,51.97,21.0
73,Australia,Management,M,S,1,0,0,105007,54.5,29.0
74,United States,Manual,F,M,1,1,1,32319,48.12,40.0
75,Australia,Skilled Manual,M,S,0,0,0,52311,57.27,35.0
76,Canada,Clerical,F,S,1,0,0,82851,54.25,36.0
77,United States,Manual,M,M,1,2,2,29111,53.22,45.0
78,France,Clerical,M,M,1,1,1,81985,52.19,28.0
79,Australia,Manual,F,S,1,0,0,33954,46.19,48.0
80,United States,Manual,F,S,0,0,0,29016,45.76,21.0
81,United States,Manual,F,M,1,1,2,33152,50.02,50.0
82,United States,Clerical,M,M,1,2,2,80331,53.77,59.0
83,Germany,Clerical,F,S,1,1,1,79235,51.62,50.0
84,Germany,Manual,F,S,0,0,0,35390,50.42,27.0
85,United States,Professional,M,S,0,0,0,136457,52.17,22.0
86,Australia,Skilled Manual,F,S,1,0,0,53549,53.1,44.0
87,Australia,Clerical,F,M,1,1,2,85674,50.64,35.0
88,United States,Professional,M,M,1,0,2,129242,52.48,49.0
89,United States,Skilled Manual,F,M,1,2,2,61829,52.85,41.0
90,United States,Management,M,S,1,0,0,111980,59.52,32.0
91,Germany,Skilled Manual,F,M,1,1,1,54675,52.61,29.0
92,France,Management,F,S,1,0,0,106648,53.81,40.0
93,United Kingdom,Skilled Manual,M,S,0,0,0,58037,52.65,24.0
94,Germany,Management,F,M,1,0,1,106062,51.69,24.0
95,France,Manual,M,S,0,0,0,28008,56.39,31.0
96,United States,Clerical,M,M,1,0,3,86828,50.62,57.0
97,Australia,Skilled Manual,M,S,0,0,0,61109,57.61,35.0
98,United States,Manual,F,M,1,1,2,35142,47.02,58.0
99,United Kingdom,Skilled Manual,F,M,0,0,0,59673,48.54,19.0
100,United States,Professional,M,M,1,1,2,133272,56.63,53.0
101,France,Clerical,M,S,1,0,1,81957,50.09,54.0
102,Germany,Management,F,S,0,0,0,103314,52.78,22.0
103,Australia,Management,F,S,1,0,0,103546,51.61,29.0
104,France,Skilled Manual,M,M,0,1,1,58317,48.05,28.0
105,United States,Skilled Manual,M,M,1,0,2,55825,48.53,56.0
106,Australia,Manual,F,S,0,0,0,36367,48.33,31.0
107,United Kingdom,Management,F,S,0,0,0,107852,54.89,28.0
108,Australia,Management,M,M,1,0,0,105888,51.31,20.0
109,Canada,Manual,M,S,0,0,0,31956,50.51,41.0
110,Australia,Clerical,F,M,0,0,0,83026,50.25,19.0
111,Australia,Management,M,S,1,0,0,110808,56.85,30.0
112,France,Skilled Manual,F,M,1,2,2,51566,50.94,48.0
113,United States,Professional,F,M,1,1,2,132962,54.67,33.0
114,United States,Professional,M,S,1,0,0,135064,55.61,44.0
115,Canada,Professional,F,S,1,0,0,135997,54.2,44.0
116,United States,Skilled Manual,F,S,0,0,0,57770,49.68,25.0
117,United States,Management,M,S,0,0,0,113290,54.55,24.0
118,Germany,Clerical,F,M,1,1,2,81214,54.11,55.0
119,France,Clerical,F,M,1,0,2,80624,49.58,36.0
120,Germany,Management,F,S,1,0,1,106908,53.03,51.0
121,Australia,Skilled Manual,M,S,0,0,0,51796,56.24,32.0
122,United States,Clerical,M,M,1,1,2,80764,52.27,26.0
123,United Kingdom,Manual,F,M,0,0,1,35297,47.28,32.0
124,United States,Clerical,F,S,0,0,0,78604,51.54,19.0
125,United States,Management,M,M,1,0,0,102869,57.71,33.0
126,Canada,Skilled Manual,M,M,1,1,2,62293,54.24,41.0
127,United Kingdom,Manual,M,S,0,0,0,34607,48.11,34.0
128,United States,Skilled Manual,F,M,1,1,2,53042,50.06,40.0
